"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 13 23:48:22 MSK 2023","Sat May 13 23:48:25 MSK 2023","2651","","test.TrelloTest","","test.TrelloTest","checkMain1","checkMain1()",""
"passed","Sat May 13 23:55:09 MSK 2023","Sat May 13 23:55:11 MSK 2023","2607","","test.TrelloTest","","test.TrelloTest","checkMain","checkMain()",""
